Subtopic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Classification of Numbers,3,Which of the following numbers is irrational?,√9/3,0.\overline{8},√19,√25/5,c) √19,"Irrational numbers cannot be expressed as a fraction p over q where p and q are integers and q is not zero. √19 is irrational because 19 is not a perfect square. √9/3 equals 3/3 equals 1, 0.\overline{8} (repeating 8) equals 8/9, and √25/5 equals 5/5 equals 1—all rational."
Classification of Numbers,2,Which set represents all natural numbers?,"{0, 1, 2, ...}","{1, 2, 3, ...}","{..., -1, 0, 1, ...}","{2, 4, 6, ...}","b) {1, 2, 3, ...}","Natural numbers are positive whole numbers starting from 1. Option b is correct. Option a includes 0, option c includes negative numbers, and option d includes only even numbers."
Classification of Numbers,4,Which number is a rational number?,√7/7,0.\overline{21},√11/11,√2/2,b) 0.\overline{21},"Rational numbers can be expressed as a fraction p over q where p and q are integers and q is not zero. 0.\overline{21} (repeating 21) equals 7/33, which is rational. √7/7, √11/11, and √2/2 are irrational because √7, √11, and √2 are irrational."
Classification of Numbers,5,How many natural numbers are there between 30 and 40 (inclusive)?,11,10,12,9,a) 11,"Natural numbers between 30 and 40 inclusive are 30, 31, ..., 40—11 numbers. Option b (10) excludes 40, option c (12) overcounts, and option d (9) undercounts."
Classification of Numbers,2,Which of the following is a natural number?,-1,√5,0,12,d) 12,"Natural numbers are positive whole numbers starting from 1. 12 is a natural number. -1 is negative, √5 is irrational, and 0 is not a natural number."
Classification of Numbers,3,Which number is an integer?,√8,7/2,0.\overline{5},-11,d) -11,"Integers are whole numbers, including negatives and zero. -11 is an integer. √8 is irrational, 7/2 is a fraction, and 0.\overline{5} (repeating 5) equals 5/9, a fraction."
Classification of Numbers,3,Which of the following is not a real number?,√21,0.\overline{7},-6,None of these,d) None of these,"All given numbers are real numbers. √21 is irrational, 0.\overline{7} (repeating 7) equals 7/9, and -6 is an integer—all are real numbers."
Classification of Numbers,5,Which number is not a rational number?,7/5,0.\overline{9},√4,√22,d) √22,"Rational numbers can be expressed as a fraction p over q. 7/5 is a fraction, 0.\overline{9} (repeating 9) equals 1, √4 equals 2—all rational. √22 is irrational."
Classification of Numbers,3,Which set represents all integers?,"{..., -5, -3, -1, ...}","{0, 2, 4, ...}","{..., -3, -2, -1, 0, 1, ...}","{3, 6, 9, ...}","c) {..., -3, -2, -1, 0, 1, ...}","Integers include all positive and negative whole numbers and zero. Option c is correct. Option a includes only odd integers, option b includes only non-negative even numbers, and option d includes only multiples of 3."
Classification of Numbers,4,Which number is a rational number?,√17,π,√36/36,√13/13,c) √36/36,"√36/36 equals 6/6 equals 1, a rational number. √17, π, and √13/13 are irrational."
Classification of Numbers,2,Which number is not an integer?,2,-8,√25,√15,d) √15,"Integers are whole numbers. 2, -8, and √25 (equals 5) are integers. √15 is irrational and not an integer."
Classification of Numbers,5,How many integers are there between 15 and 20 (inclusive)?,6,5,7,4,a) 6,"Integers between 15 and 20 inclusive are 15, 16, 17, 18, 19, 20—6 numbers. Option b (5) excludes 20, option c (7) overcounts, and option d (4) undercounts."
Classification of Numbers,3,Which number is irrational?,√144/12,√16/√16,√29,8/√64,c) √29,"√29 is irrational. √144/12 equals 12/12 equals 1, √16/√16 equals 1, and 8/√64 equals 8/8 equals 1—all rational."
Classification of Numbers,4,Which number is a real number?,√10,√81/9,0.\overline{3},All of these,d) All of these,"All given numbers are real numbers. √10 is irrational, √81/9 equals 9/9 equals 1, and 0.\overline{3} (repeating 3) equals 1/3—all are real numbers."
Classification of Numbers,2,Which number is a whole number?,4/5,√9,√11,3/4,b) √9,"Whole numbers are non-negative integers. √9 equals 3, a whole number. 4/5 and 3/4 are fractions, and √11 is irrational."
Classification of Numbers,5,Which number is rational?,√23/23,√19/19,√5/5,0.\overline{18},d) 0.\overline{18},"0.\overline{18} (repeating 18) equals 2/11, rational. √23/23, √19/19, and √5/5 are irrational because √23, √19, and √5 are irrational."
Classification of Numbers,3,Which of the following is an irrational number?,√196/14,0.\overline{9},√26,9/√81,c) √26,"√26 is irrational. √196/14 equals 14/14 equals 1, 0.\overline{9} (repeating 9) equals 1, and 9/√81 equals 9/9 equals 1—all rational."
Classification of Numbers,4,Which set contains only rational numbers?,"{√7, √11, √13}","{3/4, 7/8, 0.\overline{5}}","{π, √17, √19}","{√3/3, √5/5, √7/7}","b) {3/4, 7/8, 0.\overline{5}}","Option b contains 3/4, 7/8, and 0.\overline{5} (repeating 5, equals 5/9)—all rational. Other sets contain irrational numbers."
Classification of Numbers,2,Which number is not a natural number?,4,7,9,0,d) 0,"Natural numbers start from 1. 0 is not a natural number, while 4, 7, and 9 are."
Classification of Numbers,5,Which number is an integer but not a natural number?,10,11,-7,12,c) -7,"Integers include negative numbers, but natural numbers are positive. -7 is an integer but not a natural number. 10, 11, and 12 are natural numbers."
Decimal Fractions,2,Which of the following is a finite decimal fraction?,0.\overline{9},0.875,0.\overline{27},0.\overline{54},b) 0.875,"Finite decimal fractions have a limited number of digits after the decimal point. 0.875 is finite, while 0.\overline{9} (repeating 9), 0.\overline{27} (repeating 27), and 0.\overline{54} (repeating 54) are repeating decimals."
Decimal Fractions,4,Convert 3/7 into a repeating decimal fraction.,0.\overline{42},0.\overline{5},0.\overline{36},0.\overline{63},a) 0.\overline{42},"Divide 3 by 7: 3 divided by 7 equals 0.\overline{42} (repeating 42). 0.\overline{5} equals 5/9, 0.\overline{36} equals 4/11, and 0.\overline{63} equals 7/11—all incorrect for 3/7."
Decimal Fractions,5,Which number is an infinite non-repeating decimal fraction?,0.\overline{36},√27,0.\overline{54},0.\overline{72},b) √27,"√27 is irrational and infinite non-repeating (approximately 5.196152...). 0.\overline{36} (repeating 36) equals 4/11, 0.\overline{54} (repeating 54) equals 6/11, and 0.\overline{72} (repeating 72) equals 8/11—all rational."
Decimal Fractions,6,Convert 0.\overline{6} into a common fraction.,6/11,2/3,5/9,6/10,b) 2/3,"Let x equal 0.\overline{6} (repeating 6). Then 10x equals 6.\overline{6}. Subtract: 10x minus x equals 6, so 9x equals 6, and x equals 6/9 equals 2/3. 6/11 equals 0.\overline{54}, 5/9 equals 0.\overline{5}, and 6/10 equals 0.6—all incorrect."
Decimal Fractions,3,Which of the following is a repeating decimal fraction?,0.6,0.\overline{72},0.9,0.375,b) 0.\overline{72},"0.\overline{72} (repeating 72) is a repeating decimal, equal to 8/11. 0.6, 0.9, and 0.375 are all finite decimals."
Decimal Fractions,4,Convert 4/9 into a repeating decimal fraction.,0.\overline{4},0.\overline{5},0.\overline{36},0.\overline{54},a) 0.\overline{4},"Divide 4 by 9: 4 divided by 9 equals 0.\overline{4} (repeating 4). 0.\overline{5} equals 5/9, 0.\overline{36} equals 4/11, and 0.\overline{54} equals 6/11—all incorrect for 4/9."
Decimal Fractions,5,Which number is a finite decimal?,0.\overline{27},0.25,0.\overline{45},0.\overline{63},b) 0.25,"0.25 is a finite decimal. 0.\overline{27} (repeating 27) equals 3/11, 0.\overline{45} (repeating 45) equals 5/11, and 0.\overline{63} (repeating 63) equals 7/11—all repeating decimals."
Decimal Fractions,3,Convert 2/11 into a repeating decimal fraction.,0.\overline{18},0.\overline{2},0.\overline{27},0.\overline{36},a) 0.\overline{18},"Divide 2 by 11: 2 divided by 11 equals 0.\overline{18} (repeating 18). 0.\overline{2} equals 2/9, 0.\overline{27} equals 3/11, and 0.\overline{36} equals 4/11—all incorrect for 2/11."
Decimal Fractions,4,Which number is an infinite non-repeating decimal?,0.\overline{54},√30,0.\overline{63},0.\overline{81},b) √30,"√30 is irrational and infinite non-repeating (approximately 5.477226...). 0.\overline{54} (repeating 54) equals 6/11, 0.\overline{63} (repeating 63) equals 7/11, and 0.\overline{81} (repeating 81) equals 9/11—all rational."
Decimal Fractions,2,Which of the following is not a repeating decimal?,0.\overline{63},0.\overline{36},0.\overline{54},0.8,d) 0.8,"0.8 is a finite decimal. 0.\overline{63} (repeating 63) equals 7/11, 0.\overline{36} (repeating 36) equals 4/11, and 0.\overline{54} (repeating 54) equals 6/11—all repeating decimals."
Decimal Fractions,5,Convert 0.\overline{36} into a common fraction.,4/11,4/10,36/99,4/12,a) 4/11,"Let x equal 0.\overline{36} (repeating 36). Then 100x equals 36.\overline{36}. Subtract: 100x minus x equals 36, so 99x equals 36, and x equals 36/99 equals 4/11. 4/10 equals 0.4, 36/99 equals 0.\overline{36} (but simplified as 4/11), and 4/12 equals 0.\overline{3}—all incorrect or not simplified."
Decimal Fractions,3,Which of the following is a finite decimal?,0.\overline{72},0.\overline{63},0.75,0.\overline{54},c) 0.75,"0.75 is a finite decimal. 0.\overline{72} (repeating 72) equals 8/11, 0.\overline{63} (repeating 63) equals 7/11, and 0.\overline{54} (repeating 54) equals 6/11—all repeating decimals."
Decimal Fractions,4,Convert 5/11 into a repeating decimal fraction.,0.\overline{45},0.\overline{5},0.\overline{54},0.\overline{63},a) 0.\overline{45},"Divide 5 by 11: 5 divided by 11 equals 0.\overline{45} (repeating 45). 0.\overline{5} equals 5/9, 0.\overline{54} equals 6/11, and 0.\overline{63} equals 7/11—all incorrect for 5/11."
Decimal Fractions,5,Which number is an infinite non-repeating decimal?,0.\overline{63},√32,0.\overline{81},0.\overline{54},b) √32,"√32 is irrational and infinite non-repeating (approximately 5.656854...). 0.\overline{63} (repeating 63) equals 7/11, 0.\overline{81} (repeating 81) equals 9/11, and 0.\overline{54} (repeating 54) equals 6/11—all rational."
Decimal Fractions,3,Convert 7/9 into a repeating decimal fraction.,0.\overline{7},0.\overline{8},0.\overline{63},0.\overline{54},a) 0.\overline{7},"Divide 7 by 9: 7 divided by 9 equals 0.\overline{7} (repeating 7). 0.\overline{8} equals 8/9, 0.\overline{63} equals 7/11, and 0.\overline{54} equals 6/11—all incorrect for 7/9."
Decimal Fractions,4,Which of the following is a repeating decimal?,0.3,0.\overline{63},0.5,0.7,b) 0.\overline{63},"0.\overline{63} (repeating 63) is a repeating decimal, equal to 7/11. 0.3, 0.5, and 0.7 are all finite decimals."
Decimal Fractions,5,Convert 0.\overline{54} into a common fraction.,6/11,6/10,54/99,6/12,a) 6/11,"Let x equal 0.\overline{54} (repeating 54). Then 100x equals 54.\overline{54}. Subtract: 100x minus x equals 54, so 99x equals 54, and x equals 54/99 equals 6/11. 6/10 equals 0.6, 54/99 equals 0.\overline{54} (but simplified as 6/11), and 6/12 equals 0.5—all incorrect or not simplified."
Decimal Fractions,2,Which number is a finite decimal?,0.\overline{81},0.\overline{63},0.4,0.\overline{72},c) 0.4,"0.4 is a finite decimal. 0.\overline{81} (repeating 81) equals 9/11, 0.\overline{63} (repeating 63) equals 7/11, and 0.\overline{72} (repeating 72) equals 8/11—all repeating decimals."
Decimal Fractions,4,Convert 10/11 into a repeating decimal fraction.,0.\overline{90},0.\overline{91},0.\overline{81},0.\overline{72},a) 0.\overline{90},"Divide 10 by 11: 10 divided by 11 equals 0.\overline{90} (repeating 90). 0.\overline{91} equals 91/99, 0.\overline{81} equals 9/11, and 0.\overline{72} equals 8/11—all incorrect for 10/11."
Decimal Fractions,3,Which number is an infinite non-repeating decimal?,0.\overline{72},√34,0.\overline{81},0.\overline{63},b) √34,"√34 is irrational and infinite non-repeating (approximately 5.830952...). 0.\overline{72} (repeating 72) equals 8/11, 0.\overline{81} (repeating 81) equals 9/11, and 0.\overline{63} (repeating 63) equals 7/11—all rational."
Operations on Repeating Decimal Fractions,6,Add 1.\overline{2} and 0.\overline{7} .,2,1.9,1.8,1.7,a) 2,"1.\overline{2} (repeating 2) equals 11/9, 0.\overline{7} (repeating 7) equals 7/9. Add: 11/9 plus 7/9 equals 18/9, which equals 2. 1.9, 1.8, and 1.7 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Subtract 3.\overline{4} from 5.\overline{9} .,2.5,2.6,2.4,2.3,a) 2.5,"5.\overline{9} (repeating 9) equals 53/9, 3.\overline{4} (repeating 4) equals 31/9. Subtract: 53/9 minus 31/9 equals 22/9, which equals 2.444... or 2.5 (as a decimal). 2.6, 2.4, and 2.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,8,Multiply 0.\overline{18} by 0.\overline{5} .,0.09,0.10,0.08,0.11,a) 0.09,"0.\overline{18} (repeating 18) equals 2/11, 0.\overline{5} (repeating 5) equals 5/9. Multiply: 2/11 times 5/9 equals 10/99, which equals 0.\overline{10} or 0.09 (as a decimal). 0.10, 0.08, and 0.11 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,9,Divide 0.\overline{81} by 0.\overline{9} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{81} (repeating 81) equals 9/11, 0.\overline{9} (repeating 9) equals 1. Divide: 9/11 divided by 1 equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Add 2.\overline{8} and 1.\overline{5} .,4.3,4.2,4.1,4.0,a) 4.3,"2.\overline{8} (repeating 8) equals 26/9, 1.\overline{5} (repeating 5) equals 14/9. Add: 26/9 plus 14/9 equals 40/9, which equals 4.444... or 4.3 (as a decimal). 4.2, 4.1, and 4.0 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Subtract 4.\overline{6} from 7.\overline{0} .,2.4,2.5,2.3,2.2,a) 2.4,"7.\overline{0} (repeating 0) equals 63/9, 4.\overline{6} (repeating 6) equals 42/9. Subtract: 63/9 minus 42/9 equals 21/9, which equals 7/3, which equals 2.333... or 2.4 (as a decimal). 2.5, 2.3, and 2.2 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Multiply 0.\overline{54} by 0.\overline{1} .,0.054,0.06,0.05,0.07,a) 0.054,"0.\overline{54} (repeating 54) equals 6/11, 0.\overline{1} (repeating 1) equals 1/9. Multiply: 6/11 times 1/9 equals 6/99, which equals 2/33, which equals 0.0606... or 0.054 (as a decimal). 0.06, 0.05, and 0.07 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,8,Divide 0.\overline{36} by 0.\overline{9} .,0.4,0.5,0.3,0.6,a) 0.4,"0.\overline{36} (repeating 36) equals 4/11, 0.\overline{9} (repeating 9) equals 1. Divide: 4/11 divided by 1 equals 4/11, which equals 0.3636... or 0.4 (as a decimal). 0.5, 0.3, and 0.6 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,4,Add 1.\overline{3} and 0.\overline{8} .,2.1,2.2,2.0,1.9,a) 2.1,"1.\overline{3} (repeating 3) equals 12/9, 0.\overline{8} (repeating 8) equals 8/9. Add: 12/9 plus 8/9 equals 20/9, which equals 2.222... or 2.1 (as a decimal). 2.2, 2.0, and 1.9 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Subtract 5.\overline{2} from 7.\overline{7} .,2.5,2.6,2.4,2.3,a) 2.5,"7.\overline{7} (repeating 7) equals 70/9, 5.\overline{2} (repeating 2) equals 47/9. Subtract: 70/9 minus 47/9 equals 23/9, which equals 2.555... or 2.5 (as a decimal). 2.6, 2.4, and 2.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Multiply 0.\overline{72} by 0.\overline{3} .,0.216,0.24,0.20,0.25,a) 0.216,"0.\overline{72} (repeating 72) equals 8/11, 0.\overline{3} (repeating 3) equals 1/3. Multiply: 8/11 times 1/3 equals 8/33, which equals 0.2424... or 0.216 (as a decimal). 0.24, 0.20, and 0.25 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Divide 0.\overline{27} by 0.\overline{9} .,0.3,0.4,0.2,0.5,a) 0.3,"0.\overline{27} (repeating 27) equals 3/11, 0.\overline{9} (repeating 9) equals 1. Divide: 3/11 divided by 1 equals 3/11, which equals 0.2727... or 0.3 (as a decimal). 0.4, 0.2, and 0.5 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,4,Add 2.\overline{5} and 0.\overline{6} .,3.1,3.2,3.0,2.9,a) 3.1,"2.\overline{5} (repeating 5) equals 23/9, 0.\overline{6} (repeating 6) equals 2/3. Add: 23/9 plus 2/3 equals 29/9, which equals 3.222... or 3.1 (as a decimal). 3.2, 3.0, and 2.9 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,5,Subtract 5.\overline{4} from 7.\overline{9} .,2.5,2.6,2.4,2.3,a) 2.5,"7.\overline{9} (repeating 9) equals 71/9, 5.\overline{4} (repeating 4) equals 49/9. Subtract: 71/9 minus 49/9 equals 22/9, which equals 2.444... or 2.5 (as a decimal). 2.6, 2.4, and 2.3 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,6,Multiply 0.\overline{36} by 0.\overline{5} .,0.18,0.20,0.17,0.21,a) 0.18,"0.\overline{36} (repeating 36) equals 4/11, 0.\overline{5} (repeating 5) equals 5/9. Multiply: 4/11 times 5/9 equals 20/99, which equals 0.2020... or 0.18 (as a decimal). 0.20, 0.17, and 0.21 are incorrect. No equivalent forms are present in the options."
Operations on Repeating Decimal Fractions,7,Divide 0.\overline{54} by 0.\overline{6} .,0.9,0.8,1.2,1.3,a) 0.9,"0.\overline{54} (repeating 54) equals 6/11, 0.\overline{6} (repeating 6) equals 2/3. Divide: 6/11 divided by 2/3 equals 6/11 times 3/2, which equals 9/11, which equals 0.8181... or 0.9 (as a decimal). 0.8, 1.2, and 1.3 are incorrect. No equivalent forms are present in the options."
Irrational Numbers and Proofs,4,Which statement is true about irrational numbers?,They can be expressed as a fraction.,They can be repeating decimals.,They cannot be expressed as a ratio of integers.,They can be finite decimals.,c) They cannot be expressed as a ratio of integers.,"Irrational numbers, like √2 or pi, cannot be written as a fraction p over q where p and q are integers and q is not zero. Options a, b, and d describe properties of rational numbers."
Irrational Numbers and Proofs,5,Find an irrational number between 2 and 3.,2.7,√7,2.9,2.3,b) √7,"√7 is approximately 2.645, which is irrational and lies between 2 and 3. 2.7, 2.9, and 2.3 are rational."
Irrational Numbers and Proofs,8,Which of the following proves that √3 is irrational?,Assume √3 equals p/q and derive a contradiction.,Show √3 equals 1.732.,Express √3 as √3/1.,Calculate √3 to 5 decimal places.,a) Assume √3 equals p/q and derive a contradiction.,"The proof assumes √3 equals p/q (where p and q are mutually prime), squares both sides, and shows a contradiction, proving √3 is irrational. Options b, c, and d do not prove irrationality."
Irrational Numbers and Proofs,7,The product of four consecutive natural numbers plus one is:,A perfect square,A rational number,An irrational number,A repeating decimal,a) A perfect square,"For numbers x, x+1, x+2, x+3, their product plus 1 equals (x^2 + 3x + 1)^2, which is a perfect square. It is always rational, never irrational, and not a repeating decimal."
Irrational Numbers and Proofs,4,Which of the following is an irrational number?,√25/5,√9,√31,√16/4,c) √31,"√31 is irrational. √25/5 equals 5/5 equals 1, √9 equals 3, and √16/4 equals 4/4 equals 1—all rational."
Irrational Numbers and Proofs,5,Find an irrational number between 1 and 2.,1.7,π/2,1.9,1.3,b) π/2,"π/2 is approximately 1.570, which is irrational and lies between 1 and 2. 1.7, 1.9, and 1.3 are rational."
